Company,Business Type,County,Total Employees,Number Affected,Date of Notice,Layoff Date,Closing Date,Reason for Dislocation,Classification,Reason Stated for Filing,Union,Contact,Phone,Event Number,Case_ID
"New York Life Insurance Company – Information Technology Operations 51 Madison Avenue New York, NY10010",Life Insurance,New York | WIB Name: NEW YORK CITY | Region: New York City Westchester | WIB Name: WESTCHESTER | Region: Mid-Hudson Region,-----,54,5/3/2016,to occur between 7/22/2016 through 1/20/2017,-----,Relocate and outsource the company’s Information Technology Operations,Plant Layoff,Plant Layoff,There is no union representation at this location.Bumping arrangements are not available for affected employees.,Donald P. Vandegrift Jr.,(212) 576-6598,,5543
"Power Drives, Inc. (PDI) 2148 Allen Street Ext Falconer, NY14733",Engineering Solution and Assemblies,Chautauqua | WIB Name: CHAUTAUQUA | Region: Western Region,96,96,4/29/2016,Layoffs to occur between 8/1/2016 and 8/31/2016,8/1/2016,"Relocating production to Buffalo, NY",Plant Closing,Plant Closing,"Employees are not represented by a union, collective bargaining agent, or other employee representative.","Louis P. Panzica, CEO/President",(716) 822-3600,2015-0327,5542
"H.P. Neun Company, Inc. 100 Dunn Road Lyons, NY14489",Packaging,Wayne/Seneca | WIB Name: FINGER LAKES| Region: Finger Lakes Region,64,64,2/12/2016,5/13/2016,5/13/2016,Sale of assets,Plant Closing,Plant  Closing,Employees do  not have bumping rights.,Steve Lahr/Scott Rickerson,(315) 665-0044 Ext. 320/ (315) 568-4139,,5541
"Sears Holdings Management Corporation 60 Smithfield Blvd Plattsburgh, NY12901",Retail and Automotive center,Clinton | WIB Name: C-E-F-H | Region: North Country Region,56,56,4/21/2016,During the 14-day period commencing on 7/17/2016,7/31/2016,Economic,Plant Closing,Plant Closing,Employees are not represented by any union. No bumping or transfer rights exist.,"James Suber, Region HR Director",(847) 286-2500,2015-0328,5540
"Kmart Store #3295 Subsidiary of Sears Holdings  Corporation 3049 W Ridge Road Rochester, NY 14626",Retail,Monroe | WIB Name: MONROE| Region: Finger Lakes Region,75,75,4/21/2016,during the 14-day period commencing on 7/24/2016,8/7/2016,Economic,Plant Closing,Plant  Closing,There are no  bumping rights nor are employees represented by any union.,"Mike Smith, Regional HR Director",(847) 286-5904,2015-0312,5539
"Chartwells Dining  Services Polytechnic Institute of NYU 6 Metrotech Center Brooklyn, NY 11201",Food Services,Kings |  WIB Name: NEW YORK CITY| Region: New York City,39,39,4/29/2016,5/27/2016,5/27/2016,Contract Loss,Plant Closing,Plant  Closing,"UNITE HERE,  Local 100","Denise  Swedish,HR Field Consultant",(518) 235-9165,2015-0326,5538
"Harris Publications, Inc. 1115 Broadway New York, NY 10010",Publishers,New York | WIB Name: NEW YORK CITY| Region: New York City,65,65,4/28/2016,4/29/2016,4/29/2016,Economic,Plant Closing,Plant Closing,There are no  bumping rights.,"Warren  Sherman, Chief Financial Officer",(917) 453-1396,2015-0325,5537
"Al Jazeera America, LLC 305 West 34th Street New York, NY10001",Cable News Network,New York | WIB Name: NEW YORK CITY | Region: New York City,197,197,1/13/2016 Amended 4/25/2016,To occur between 4/13/2016 and 9/9/2016 or within 14 days thereafter to wind down operations after closing,4/30/2016,Economic,Plant Closing,Plant Closing,CWA Local 31003,"HJ Chang, Senior Vice President, Human Resources",(646) 582-2031,,5536
"Restaurant Associates @ Equinox 1 Park 1 Park Avenue New York, NY10016",Food Services,New York | WIB Name: NEW YORK CITY | Region: New York City,6,6,4/26/2016,6/16/2016,6/16/2016,Loss of Contract,Plant Closing,Plant Closing,-----,"Josh MacGregor, Regional Director",(917)243-0038,2015-0313,5535
"Eastman Kodak  Eastman Business Park 1999 Lake Avenue Rochester, NY",Photographic equipment and supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,1,4/28/2016,7/26/2016,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do not exist.,"Pamela J. Fantauzzo, HR Specialist, HR HRIS & US Payroll",(585) 724-7080,,5534
"EmblemHealth Services 441 Ninth Avenue New York, NY 10001",Healthcare  Services,New York  | WIB Name: NEW YORK CITY| Region: New York City,102,102,4/19/2016,7/19/2016 or within 14 days following that date,8/2/2016,Economic,Plant Closing,Plant  Closing,Office & Professional Employees International  Union/ Local 153 OPEIU,"Daniel Byrne,  Vice President, Labor Relations",(646) 447-0495,2015-0298,5532
"Maslow Media Group, Inc. 305 West 34th Street New York, NY 10001",Cable News Network,New York | WIB Name: NEW YORK CITY| Region: New York City,12,12,1/29/2016,To occur between 4/13/2016 and 5/27/2016 or within 14 days thereafter,4/30/2016,Economic,Plant Closing,Plant Closing,No union presence. No bumping or recall  rights.,Linda Maslow,(202) 965-1100 Ext 105,,5531
"Sears Holdings Management Corporation 200 Medley Centre Parkway Rochester, NY 14622",Retail,Monroe | WIB Name: MONROE| Region: Finger Lakes Region,47,47,4/21/2016,during  the 14 day period commencing on 7/17/2016,7/31/2016,Economic,Plant Closing,Plant  Closing,There are no bumping rights nor are employees represented by any union.,"James Suber, Region HR Director",(847) 286-2500,2015-0310,5530
,Financial Services,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,146,4/22/2016,To  occur between 6/20/2016 and 9/28/2016 – 2nd round of layoffs,-----,Economic,Plant Layoff,Plant Layoff,There are no bumping rights and no unions representing affected employees.,"Gena Palumbo, Managing Director and Associate  General Counsel",(212) 357-2191,,5529
"Sodexo, Inc. @ Fordham University 441 East Fordham Road Bronx, NY10458",Dining Services,Bronx | WIB Name: NEW YORK CITY | Region: New York City,382,382,4/25/2016,6/30/2016,6/30/2016,Loss of Contract,Plant Closing,Plant Closing,Teamsters Local 810,"John Azzopardi, Resident District Manager",(609) 613-2627,2015-0309,5528
"Quantum Medical Imaging, LLC, a subsidiary of Carestream Health, Inc. 2002 Orville Drive North Ronkonkoma, NY11779",Surgical & Medical Instrument Manufacturing,Suffolk | WIB Name: SUFFOLK| Region: Long Island,83,83,4/20/2016,7/29/2016,11/11/2016,Transfer ofcertain Manufacturing operations to a different Carestream Health facility.,Closing,Plant Closing,The affected employees are not represented by a union or other employee representative.,"Laurel Yartz, Human Resources Director",(585) 627-8293,2015-0307,5527
"Sears Holdings Management Corporation - Units 58491 & 38459 75 Varick Street, 8th Floor New York, NY10013",Department Stores,New York | WIB Name: NEW YORK CITY| Region: New York City,154,154,4/18/2016,7/18/2016,7/31/2016,Economic,Plant Closing,Plant Closing,The affected employees at this location are not represented by a union.,"Robert Weber, VP, Human Resources",(847) 286-2500,2015-0306,5526
"EmblemHealth Services 441 Ninth Avenue New York, NY 10001",Healthcare  Services,New York  | WIB Name: NEW YORK CITY| Region: New York City,239 total for both sites,239,4/19/2016,7/19/2016 or within 14 days following that date,8/2/2016,Economic,Plant Closing,Plant  Closing,Office & Professional Employees International Union/ Local 153 OPEIU,"Daniel Byrne,  Vice President, Labor Relations",(646) 447-0495,2015-0298,5525
"Nomura Holding America Inc. 309 West 49th Street New York, NY 10019",Investment banking,New York  | WIB Name: NEW YORK CITY| Region: New York City,32,32,4/19/2016,to occur  on or around 7/11/2016,-----,Economic,Plant Layoff,Plant Layoff,"Employees are not represented by a union, and no bumping rights exist with respect to this  action.","Colin Peters,  Managing Director & Head of Human Resources, Americas",(212) 298-4588,2015-0301,5524
"Amazon Corporate LLC My Habits Business 1350 Avenue of the Americas, 5th Floor New York, NY 10019",Catalog and Mail Order House,New York  | WIB Name: NEW YORK CITY| Region: New York City,89,89,4/21/2016,to begin on 7/20/2016,7/20/2016,Economic,Plant Layoff,Plant  Layoff,Affected employees are not represented by a union or any other collective bargaining representative.,"Simmi Bath-Hydzik, Human Resources Director",(206) 266-9304,2015-0302,5523
"Sterling National Bank 16 Court Street Brooklyn, NY 11241",Financial Institution,Kings |  WIB Name: NEW YORK CITY| Region: New York City,-----,2,4/20/2016,during the 14-day period starting on 7/21/2016,-----,Economic,Plant Layoff,Plant Layoff,There are no bumping rights.,"Jean Strella,  M.S., CBP, CCP, SPRH, Executive Vice President, Chief Human Capital Officer",(845) 369-8086,,5522
"677 LEX TGI INC. TGI Friday's Restaurant 677 Lexington Avenue New York, NY",Restaurant,New York | WIB Name: NEW YORK CITY| Region: New York City,36,36,4/18/2016,7/19/2016,7/19/2016,Economic,Plant Closing,Plant Closing,No bumping rights exist among those non-union employees.,"Ann Martinez, CFO",(212) 560-1658,2015-0297,5521
"GE Capital 299 Park Avenue New York, NY 10171",Investment Services,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,27,4/14/2016,to occur between 6/5/2016 and 7/10/2016,-----,Economic,Plant Layoff,Plant Layoff,Employees are not represented by a union or  any other collective bargaining representative.,"Stacey Hoin,  Senior Vice President of Human Resources",(203) 750-7030,2015-0296,5520
"Esplanade of White Plains Venture Partnership  d/b/a The Esplanade (Main Building) 95 South Broadway White Plains, NY 10601",Senior Residences,Westchester | WIB Name: WESTCH/PTNM| Region: Mid-Hudson  Region,55,55,4/15/2016,will  occur on a 14-day period beginning on 7/14/2016,7/14/2016,Multi  year overhaul of building,Plant Closing,Plant  Closing,UNITE HERE Local 100,"Joseph  Kaufman, Controller",(914) 761-8100 ext 7124,,5519
"The Four Seasons Restaurant 99 East 52nd Street New York, NY 10022",Restaurant,New York  | WIB Name: NEW YORK CITY| Region: New York City,130,130,4/13/2016,To  occur between 7/16/2016 and 7/31/2016,7/16/2016,Economic,Plant Closing,Plant  Closing,UNITE HERE Local 100,"Alex van  Bidder, Managing Partner",(212) 754-9494,,5518
"Lighthouse Guild - LGI The Ethel and Samuel J. Lefrak School 111 East 59th Street New York, NY10022",Educational Facility,New York | WIB Name: NEW YORK CITY | Region: New York City,32,32,4/8/2016,to occur between 7/1/2016 and 8/19/2016,7/1/2016,Economic,Plant Closing,Plant Closing,1199 United Health Care Workers,"Melissa Farber, VP of Human Resources",(212) 769-6220,,5517
"St. Barnabas Rehabilitation & Continuing Care Center 2175 Quarry Road Bronx, NY10457",Rehabilitation Center,Bronx | WIB Name: NEW YORK CITY | Region: New York City,254,254,4/13/2016,will occur between 7/15/2016 or within 14 days of that date,7/29/2016,Acquired by SBNH Acquisition LLC,Plant Closing,Plant Closing,1199SEIU Healthcare Workers East,"Alfredo Alvarado, Licensed Administrator",(718) 960-3910,,5516
"Midtown Express, LLC 211 Arlington Avenue Staten Island, NY10303",Telecommunications company,Richmond | WIB Name: NEW YORK CITY| Region: New York City,45,45,4/12/2016,5/13/2016,5/13/2016,Economic,Plant Closing,Plant Closing,"International  Brotherhood of Electrical Workers, Local 3",Michael Sicsko,(718) 628-3420 Ext 408,,5515
"SFX Entertainment, Inc. 902 Broadway, 15th Floor New York, NY 10010",Entertainment,New York | WIB Name: NEW YORK CITY| Region: New York City,36,36,4/12/2016,on or  around 7/7/2016,7/7/2016,Chapter 11 Bankruptcy,Plant Closing,Plant  Closing,Employees are  not represented by a union and no bumping rights exist with respect to this  action.,"Suzy Bootle,  Senior Director of Human Resources",(646) 738-3212,,5514
"AIG - American International  Group 175 Water Street New York, NY 10038",Insurance,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,108,3/21/2016,to occur between 3/11/2016 and 9/30/2016,-----,Economic,Plant Layoff,Plant Layoff,No bumping  rights exist and employees are non-union.,"Richard V.  Joers, Head of Employee Relations",(718) 250-1870,,5513
"Buffalo Cardiology and  Pulmonary Associates, P.C. 6460 Main Street  Williamsville, NY 14221",Physicians office,Erie |  WIB Name: ERIE| Region: Western Region,119,119,4/6/2016,5/20/2016,5/20/2016,Economic,Plant Closing,Plant  Closing,Bumping rights do not exist.,Denise  Williams,(716) 691-4455Ext 877,,5512
"Eastman Kodak Company (Kodak Office) 343 State Street Rochester, NY14650",Photographic equipment and Supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,2,4/5/2016,7/3/2016,-----,Economic,Plant Layoff,Plant Layoff,The affected workers are not represented by a union.,"Pamela J. Fantauzzo, HR Specialist",(585) 724-7080,,5511
"Pfizer Inc. 401 North Middletown RoadPearl River, NY10965",Pharmaceutical Products,Rockland | WIB Name: ROCKLAND | Region: Mid-Hudson Region,----,40 non-bargaining unit colleagues and 160 bargaining unit colleagues,4/7/2016,on or after 7/9/2016,-----,Company Restructuring,Plant Layoff,Plant Layoff,Local 95c ICWU/UFCW,"Mariana Arteaga, Human Resources Director, Manager & Operational SupportPhone:(845) 602-3611",,,5510
"Direct Energy 395 Summit Point Drive Henrietta, NY14467",Solar Energy Equipment Supplier,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,45,45,3/3/2016,5/30/2016,5/30/2016,Economic,Plant Closing,Plant Closing,No bumping rights exist and there is no employee representative.,"Jonathan Phillips, Director of Employee Relations",(713) 904-7441,,5508
"Direct Energy 101 Solar Street Syracuse, NY13204",Solar Energy Equipment Supplier,Onondaga | WIB Name: ONONDAGA | Region: Central Region,14,14,3/29/2016,5/30/2016,5/30/2016,Economic,Plant Closing,Plant Closing,Bumping rights do not exist.,"Jonathan Phillips, Director of Employee Relations",(713) 904-7441,,5507
"Catholic Charities of Buffalo, New York  Various Locations within Buffalo public schools 741 Delaware Avenue Buffalo, NY14209",Social Services Organization,Erie | WIB Name: ERIE | Region: Western Region,65,65,3/30/2016,6/30/2016,6/30/2016,Economic,Plant Closing,Plant Closing,Employees are not represented by a union. No bumping rights exist.,"Joseph Farrauto, Direcor of Human Resources",(716) 218-1450Ext 2096,,5506
"Climax Manufacturing Company 7840 State Route 26 Lowville, NY13367",Packaging Solutions,Lewis | WIB Name: JEFF/LEWIS | Region: North Country Region,158,158,4/1/2016,4/1/2016,4/1/2016,Bankruptcy,Plant Closing,Plant Closing,"United Steelworkers, District 4","Don Schnackel, General Manager",(315) 493-5303,,5505
"790 French LLC  @ The Hilton Garden Inn Times Square 790 Eighth Avenue New York, NY10019",Restaurant,New York | WIB Name: NEW YORK CITY | Region: New York City,64,64,3/31/2016,6/30/2016,6/30/2016,Non renewal of lease,Plant Closing,Plant Closing,"New York Hotel & Motel Trades Council, AFL-CIO, UNITE HERE",Simon Oren or Isaac Kestenberg,(212) 489-2233,,5504
"Honeywelll Scanning and Mobility 700 Visions Drive POB 208 Skaneateles Falls, NY13153",Developing and Manufacturing - Clean Energy Systems,Onondaga | WIB Name: ONONDAGA | Region: Central Region,-----,41,4/23/2015 Amended 3/31/2016,to occur between 7/1/2015 and 6/30/2016,-----,Economic,Plant Layoff,Plant Layoff,Employees are not represented by a union and do not have bumping rights.,"Jill A. Krauza, Sr. Manager, Human Resources",(412) 349-2691,,5503
"United Cerebral Palsy of Suffolk 159 Carleton Avenue Central Islip, NY11722",Health Center,Suffolk | WIB Name: SUFFOLK | Region: Long Island,24,24,3/30/2016,6/6/2016,6/6/2016,Turning over operations to LISH,Plant Closing,Plant Closing,UCEA,"Jayne Mancusi, Director, Human Resources",(631) 232-0011Ext 406,,5502
"Carrier Coach Inc. 3999 Lake Shore Road Hamburg, NY 14219",Transportation service,Erie | WIB Name: ERIE | Region: Western Region County:Cattaraugus | WIB Name: ALL/CAT | Region: Western Region County:Chautauqua | WIB Name: CHAUTAUQUA | Region: Western  Region,111,111,3/25/2016 Amended 4/1/2016,to occur between 6/23/2016 and 6/30/2016,6/30/2016,Economic,Plant Closing,Plant Closing,"District Union Local One, United Food and Commercial Workers Union, AFL-CIO","Debra Crow, General Manager",(716) 627-5919 Ext 306,,5501
"Sentry Safe, Inc. 900 Linden Avenue Rochester, NY14650",Metal Products Manufacturing,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,272,272,10/29/2015 Amended 3/31/2016,to occur in stages between 1/29/2016 and 8/31/2016,8/31/2016,Relocation of operations,Plant Closing,Plant Closing,"Bumping or transfer rights do not exist in the situation, and affected employees are not represented by a labor union.","Clint Pies, Vice President, Human Resources",(414) 766-6206,,5500
"Jabil Circuit, Inc. 2455 South Road, Building 07 Poughkeepsie, NY12601",BTO/CTO Unit,Dutchess | WIB Name: DUTCHESS | Region: Mid-Hudson Region,45,45,3/29/2016,6/30/2016,6/30/2016,Discontinuance of work cell operations.,Plant Unit Closing,Plant Unit Closing,Facility is non-union.Bumping rights do not exist.,"Marian S. Hutchins, Human Resource Manager",(845) 232-2555,,5499
"Family Residences and Essential Enterprises (FREE) 120 Plant Avenue Hauppauge, NY",Wellness Center,Suffolk | WIB Name: SUFFOLK | Region: Long Island,16,16,3/25/2016,to occur on a 14-day period commencing on 6/1/2016,6/1/2016,"Turning over operations to LISH, Inc.",Plant Closing,Plant Closing,-----,"Robert White, VP Human Resources",(516) 870-1684,,5498
"Carrier Coach Inc. 3999 Lake Shore Road Hamburg, NY14219",Transportation  service,Erie | WIB Name: ERIE| Region: Western Region,93,93,3/25/2016,to  occur between 6/23/2016 and 6/30/2016,6/30/2016,Economic,Plant Closing,Plant Closing,"District Union Local One, United Food and Commercial Workers Union, AFL-CIO","Debra Crow, General Manager",(716) 627-5919 Ext 306,,5495
"Developmental Disabilities, Inc.,Institute  OPTI-HEALTHCARE 75 Landing Meadow Road Smithtown, NY 11787",Clinic,Suffolk | WIB Name: SUFFOLK| Region: Long Island,20,20,1/4/2016,Projected  to occur during the 14-day period commencing on or about 6/6/2016,6/6/2016 or within the 14-day period following this date,Operation of facilities transitioned to LISH,Plant Closing,Plant Closing,Employees are  not represented by a union.,"Michael A.  Wolinsky, Director, Human Resources",(631) 366-2907,,5494
"Goldman, Sachs & Co.  200 West Street New York, NY 10282",Financial Services,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,109,2/9/2016,To  occur between 5/9/2016 and 12/31/2016,-----,Economic,Plant Layoff,Plant Layoff,There are no  bumping rights and no unions representing affected employees.,"Gena Palumbo, Managing Director and Associate  General Counsel",(212) 357-2191,,5493
"Ocean Side Institutional Industries 2525 Long Beach Road Oceanside, NY11520",Linen Rentals,Nassau | WIB Name: HEMPSTEAD | Region: Long Island,171,171,3/18/2016,to occur between 6/15/2016 and 6/18/2016,6/18/2016,Economic,Plant Closing,Plant Closing,"Laundry, Distribution and Food Service Joint Board – Workers United","Francine Boyle, Director of Human Resources",(516) 766-1461,,5491
"AIG - American International Group 175 Water Street New York, NY10038",Insurance,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,108,3/21/2016 Amended 3/23/2016,to occur between 3/11/2016 and 9/30/2016,-----,Economic,Plant Layoff,Plant Layoff,No bumping rights exist and employees are non-union.,"Richard V. Joers, Head of Employee Relations",(718) 250-1870,,5490
"AIG - American International Group 175 Water Street New York, NY10038",Insurance,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,242 in total at all 5 locations,3/21/2016,to occur between 3/11/2016 and 9/30/2016,-----,Economic,Plant Layoff,Plant Layoff,No bumping rights exist and employees are non-union.,"Richard V. Joers, Head of Employee Relations",(718) 250-1870,,5489
"Eastman Kodak Company  (Eastman Business Park) 1669 Lake Avenue Rochester, NY14650",Photographic equipment and Supplies,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,-----,5,3/16/2016,6/13/2016,-----,Economic,Plant Layoff,Plant Layoff,Bumping rights do exist.,"Kim M. Chesher-Nguyen, Manager, US Benefits",(585) 781-1758,,5487
"Harlem Hand Carwash Corp. 2600 Adam Clayton Powell Jr. Boulevard New York, NY 10039",Carwash,New York | WIB Name: NEW YORK CITY| Region: New York City,34,34,3/16/2016,3/31/2016,3/31/2016,Non renewal of lease,Plant Closing,Plant Closing,There are no bumping rights and  the affected employees are not represented by a union.,"Donald V.  Biase, Trustee",(973) 618-1008,,5480
"Golden Krust – Patty Plant 3958 Park Avenue Bronx, NY10457",Bakery,Bronx | WIB Name: NEW YORK CITY | Region: New York City,252,99,3/8/2016,4/22/2016 - Plant will resume operations on 5/31/2016,-----,Plant Renovation,Temporary Plant Layoff,Temporary Plant Layoff,I.B.E.W. Local Union 1430,"Rick Pennington, HR Manager",(718) 583-0360,,5479
"Jewish Home Lifecare Harry and Jeanette Weinberg Campus Bronx, NY10468",Skilled nursing home care facility,Bronx/New York | WIB Name: NEW YORK CITY | Region: New York City,964,964,2/22/2016 Amended 3/15/2016,to commence during the 14-day period starting on 5/25/2016,5/25/2016,"Sale of business to TCPRNC, LLC (The Plaza)",Plant Closing,Plant Closing,"1199 SEIU, United Healthcare Workers, East, New York State Nurses Association","Audrey R. Wathen, Senior Vice President, Human Resources",(212) 870-4956,,5478
"First Data 1307 Walt Whitman Road Melville, NY11747",Data processing services,Suffolk | WIB Name: SUFFOLK | Region: Long Island,641,641,3/7/2016,To occur between 3/19/2015 and 12/31/2017,12/31/2017,Economic,Plant Closing,Plant Closing,No union representation and no bumping rights exist.,"Jennifer Voycheske, Manager HR Operations",(402) 777-3708,,5477
"Rosenthal Jewish Community Center of Northern Westchester, Inc. 600 Bear Ridge Road Pleasantville, NY10570",Civic and Social Center,Westchester | WIB Name: WESTCH/PTNM | Region: Mid-Hudson Region,61,61,3/14/2016,To occur between 6/17/2016 and 6/30/2016,6/30/2016,Economic,Plant Closing,Plant Closing,"Community and Social Agency Employees, District Council 1707 and Local 215","Ellie Aronowitz, Executive Director",(914) 741-0333 x11,,5476
"Chartwells Dining Services at Nazareth College 4245 East Avenue Rochester, NY14618",Food Services,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,90,90,3/14/2016,to occur between 4/22/2016 and 5/16/2016,5/16/2016,Loss of Contract,Plant Closing,Plant Closing,Local 200 United SEIU,"Erin Talbot, Field HR Business Partner, Compass Group USA, Inc.",(704) 328-5149,,5475
"Credit Suisse Securities (USA) LLC One Madison Avenue and Eleven Madison Avenue New York, NY10010",Financial Institution,New York | WIB Name: NEW YORK CITY| Region: New York City,-----,163,3/10/2016,Will be affected through May 2016,-----,Economic,Plant Layoff,Plant Layoff,The affected employees are not represented by a union.,"Brennan McDonough, Director, Human Resources",(212) 538-7303,,5474
"Investor's Business Daily 145 West 45th Street New York, NY10036",Newspaper Publishers and Printing Manufacturers,New York | WIB Name: NEW YORK CITY | Region: New York City,7,3,2/22/2016,4/29/2016,-----,Company Restructuring,Plant Layoff,Plant Layoff,No union representation and no bumping rights applicable.,"Steve Souder, Vice President, Human Resources",(310) 448-6756,,5473
"HMS Host JFK International Airport, Terminal 7 Jamaica, NY11430",Food Concession,Queens | WIB Name: NEW YORK CITY | Region: New York City,134,134,3/4/2016,4/30/2016,4/30/2016,Loss of Contract for Concessionaire Sublease agreement,Plant Closing,Plant Closing,Bumping rights are not specific to this particular situation.,"Donald Miehl, Director of Operations",(718) 679-0452,,5472
"Direct Energy 395 Summit Point Drive Henrietta, NY14467",Solar Energy Equipment Supplier,Monroe | WIB Name: MONROE | Region: Finger Lakes Region,53,53,3/3/2016,5/30/2016,5/30/2016,Economic,Plant Closing,Plant Closing,No bumping rights exist and there is no employee representative.,"Jonathan Phillips, Director of Employee Relations",(713) 904-7441,,5471
"Canon Solutions America, Inc.  New York Life 51 Madison Avenue New York, NY",Supply staff,New York | WIB Name: NEW YORK CITY | Region: New York City,38,38,2/24/2016,5/31/2016,5/31/2016,Loss of Contract,Plant Closing,Plant Closing,Employees are not represented by any union or collective bargaining unit; there are no bumping rights.,"Jeremy Mitchell, Director, Human Resources",(631) 330-8533,,5470
"The New York LaGuardia Airport Marriott 102-05 Ditmars Boulevard East Elmhurst, NY 11369",Hotel Management,Queens | WIB Name: NEW YORK CITY| Region: New York City,191,191,3/1/2016,5/31/2016,5/31/2016,New  hotel management,Plant Closing,Plant  Closing,Employees do  not have bumping rights.,"Patricia G.  Cousins, Vice President & Assistant General Counsel",(301) 380-4274,,5469
"EmblemHealth Services, LLC  Centers for Medicare &  Medicaid Services 441 Ninth Avenue New York, NY10001",Medicare and Medicaid Services Contractor,New York | WIB Name: NEW YORK CITY | Region: New York City,82,82,2/24/2016,To occur between 5/27/2016 and 8/19/2016 or within 14 days following these  dates,8/19/2016,Closure of the Benefits Coordination & Recovery Center  (BCRC) Call Center,Plant Closing,Plant Closing,Office & Professional Employees International  Union & Local 153 OPEIU,"Daniel Byrne, Vice President, Labor Relations",(646) 447-0495,,5468
"Morrison Management Specialists, Inc. @ Nostrand Nursing and Rehabilitation Center 270 Nostrand Avenue Brooklyn, NY11205",Dining and Housekeeping Services,Kings | WIB Name: NEW YORK CITY | Region: New York City,41,41,8/31/2015  Amended 2/26/2016,To occur between 2/4/2016 and 3/31/2016,3/31/2016,Loss of Contract for Services,Plant Closing,Plant Closing,SEIU Local 1199,Denise Swedish,(518) 235-9165,,5467
"Bank of America - Shared Service Operations Unit 5701 Horatio Street Utica, NY13502",Financial Services - Customer Contact Center,Oneida | WIB Name: HMO | Region: Mohawk Valley Region,-----,205,12/11/2015 Amended 2/29/2016,to occur between 5/31/2016 and 10/31/2016,-----,Consolidation of Services,Plant Layoff,Plant Layoff,No bumping rights exist. Associates at this site  are not represented by a Union.,"John Collingwood, Senior Vice President",(202) 661-7130,,5465
"Meredith Corporation 805 Third Avenue New York, NY10022",Marketing Media Publishers,New York | WIB Name: NEW YORK CITY | Region: New York City,-----,29,2/25/2016,2/26/2016,-----,Economic,Plant Layoff,Plant Layoff,No bumping rights exist; non union.,"Dina Nathanson, VP Human Resources, National Media Group",(212) 551-7105,,5464
"Jewish Home Lifecare Harry and Jeanette Weinberg  Campus Bronx, NY 10468",Skilled nursing home care facility,Bronx/New York | WIB Name: NEW YORK CITY| Region: New York City,997 (both locations),997,2/22/2016,to commence during the 14-day period starting on 5/25/2016,5/25/2016,"Sale of business to TCPRNC, LLC (The Plaza)",Plant Closing,Plant  Closing,"1199 SEIU, United Healthcare Workers, East, New York  State Nurses Association","Audrey R.  Wathen, Senior Vice President, Human Resources",(212) 870-4956,,5462
"General Electric Company 381 Broadway Fort Edward, NY12838",Energy Management,Washington | WIB Name: SAR/WAR/WAS | Region: Capital Region,128,128,10/26/2015 Amended 2/23/2016,Some layoffs have been postponed to occur between 2/19/2016 and 5/31/2016,4/16/2016,Relocation of Operations,Plant Closing,Plant Closing,"Local 332 United Electrical, Radio and Machine Workers","Louis Kowalski, Human Resources Manager",(518) 746-5617,,5461
"Manhattan Center Productions 305 West 34th Street New York, NY10001",Cable News Network,New York | WIB Name: NEW YORK CITY | Region: New York City,222,75 full time and 147 part time workers,1/27/2016 Amended 2/1/2016,4/30/2016,4/30/2016,Economic,Plant Closing,Plant Closing,Employees will have no bumping or recall rights.,John Terracciano,(646) 293-1072,,5460
"H.P. Neun Company, Inc. 100 Dunn Road Lyons, NY 14489",Packaging,Wayne/Seneca | WIB Name: FINGER LAKES| Region: Finger Lakes Region,64,64,2/12/2016,To occur between 5/12/2016 and 5/26/2016,5/26/2016,Sale of assets,Plant Closing,Plant  Closing,Employees do  not have bumping rights.,Steve Lahr/Tom Ellis,(315) 665-0044/ (315) 568-4139,,5459
"Sterling National Bank 4 Executive Boulevard Suite 103 Suffern, NY  10901",Financial Institution,Rockland | WIB Name: WESTCH/PTNM| Region: Mid-Hudson Region,-----,3,2/17/2016,to occur during the 14-day period starting on 5/24/2016,-----,Merger between Sterling and Hudson Valley Bank,Plant Layoff,Plant Layoff,There are no bumping rights for employees and employees are not represented by any union.,"Jean Strella, M.S., CBP, CCP, SPHR, Executive Vice President, Chief Human Capital Officer",(845) 369-8086,,5457
"Novitex Enterprise Solutions, Inc. 919 Third Street New York, NY",Document outsourcing,New York | WIB Name: NEW YORK CITY| Region: New York City,28,28,2/17/2016,4/4/2016,4/4/2016,"Loss of Contract with Schulte Roth & Zabel, LLP",Plant Closing,Plant Closing,Affected  employees are not represented by a union.,"Beleda Hart, Human Resources Business Partner",(203) 487-5334,,5456
"Sterling National Bank 254 South Main New City, NY 10965",Financial Institution,Rockland | WIB Name: ROCKLAND| Region: Mid-Hudson Region,1,1,2/10/2016,5/12/2016,-----,Economic,Plant Layoff,Plant Layoff,There are no  bumping rights.,"Jean Strella,  M.S., CBP, CCP, SPHR, Senior Vice President, Chief Human Capital Officer",(845) 369-8086,,5455
